阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
迎	迎	yíng	greet, go to meet, reception, meet face to face, face, receive, welcome, move towards, meet	[sound:cmn-迎.mp3]
熒光	荧光	yíngguāng	fluorescence, fluorescent	[sound:cmn-荧光.mp3]
盈利	盈利	yínglì	profit, gain	[sound:cmn-盈利.mp3]
營救	营救	yíngjiù	to rescue	[sound:cmn-营救.mp3]
贏家	赢家	yíngjia	winner	[sound:cmn-赢家.mp3]
營造	营造	yíngzào	construct, build	[sound:cmn-营造.mp3]
影像	影像	yǐngxiàng	simulacrum, blip, mental image, picture, portrait, video, image	[sound:cmn-影像.mp3]
應酬	应酬	yìngchou	social niceties, social interaction, a dinner party	[sound:cmn-应酬.mp3]
應付	应付	yīngfù	hack, cope_with, treat, stand, bridge_over, come_on, do sth. perfunctorily, cope with, handle, cope, do ... perfunctorily, deal/cope with, cut, make do, deal, deal with, respond	[sound:cmn-应付.mp3]
應聘	应聘	yìngpìn	to accept a job offer, to apply for an advertised position	[sound:cmn-应聘.mp3]
應邀	应邀	yìngyāo	on invitation, at sb.'s invitation, receive an invitation	[sound:cmn-应邀.mp3]
硬幣	硬币	yìngbì	coin, CL:枚[mei2]	[sound:cmn-硬币.mp3]
映	映	yìng	to reflect (light), to shine, to project (an image onto a screen etc., old variant of 映[ying4]	[sound:cmn-映.mp3]
硬盤	硬盘	yìngpán	hard disk	[sound:cmn-硬盘.mp3]
擁護	拥护	yōnghù	to endorse, to support	[sound:cmn-拥护.mp3]
擁擠	拥挤	yōngjǐ	crowded, pushed and squeezed together	[sound:cmn-拥挤.mp3]
庸俗	庸俗	yōngsú	filthy, vulgar, debased	[sound:cmn-庸俗.mp3]
硬朗	硬朗	yìnglang	robust, healthy	[sound:cmn-硬朗.mp3]
永恆	永恒	yǒnghéng	eternalize, perpetual, eternize, eternal	[sound:cmn-永恒.mp3]
永久	永久	yǒngjiǔ	everlasting, perpetual, lasting, forever, permanent	[sound:cmn-永久.mp3]
永不	永不	yǒngbù	never, will never	[sound:cmn-永不.mp3]
勇往直前	勇往直前	yǒngwǎng-zhíqián	to advance bravely	[sound:cmn-勇往直前.mp3]
勇於	勇于	yǒngyú	be bold in, have the courage to, have courage to, be brave in	[sound:cmn-勇于.mp3]
涌	涌	yǒng	(used in place names), to bubble up, to rush forth	[sound:cmn-涌.mp3]
湧入	涌入	yǒngrù	Influence	[sound:cmn-涌入.mp3]
涌現	涌现	yǒngxiàn	to emerge in large numbers, to spring up, to emerge prominently	[sound:cmn-涌现.mp3]
用餐	用餐	yòng cān	to eat a meal	[sound:cmn-用餐.mp3]
踴躍	踊跃	yǒngyuè	enthusiastical, leap, jump, eager	[sound:cmn-踊跃.mp3]
用人	用人	yòngren	make use of personnel, employ people	[sound:cmn-用人.mp3]
用力	用力	yòng lì	exert self, exert oneself, put forth one's strenght, exert self (physically)	[sound:cmn-用力.mp3]
用功	用功	yònggōng	study, studious, hardworking, niggle, grind	[sound:cmn-用功.mp3]
優	优	yōu	excellent, superior	[sound:cmn-优.mp3]
用意	用意	yòngyì	intention, purpose	[sound:cmn-用意.mp3]
優化	优化	yōuhuà	optimization, to optimize, to make superior	[sound:cmn-优化.mp3]
優異	优异	yōuyì	excellent, outstanding	[sound:cmn-优异.mp3]
優越	优越	yōuyuè	excel, exceed, superior, outstanding, transcend	[sound:cmn-优越.mp3]
優雅	优雅	yōuyǎ	graceful, elegant, gracious	[sound:cmn-优雅.mp3]
憂愁	忧愁	yōuchóu	to be worried	[sound:cmn-忧愁.mp3]
憂慮	忧虑	yōulǜ	to worry, anxiety (about)	[sound:cmn-忧虑.mp3]
悠久	悠久	yōujiǔ	long in time	[sound:cmn-悠久.mp3]
憂鬱	忧郁	yōuyù	sullen, depressed, melancholy, dejected	[sound:cmn-忧郁.mp3]
悠閒	悠闲	yōuxián	leisurely, carefree, relaxed	[sound:cmn-悠闲.mp3]
尤為	尤为	yóuwéi	especially	[sound:cmn-尤为.mp3]
由此看來	由此看来	yóucǐkànlái	It seems that it seems	[sound:cmn-由此看来.mp3]
由來	由来	yóulái	origin	[sound:cmn-由来.mp3]
由此可見	由此可见	yóucǐ-kějiàn	from this, it can be seen that...	[sound:cmn-由此可见.mp3]
郵編	邮编	yóubiān	postal code, zip code	[sound:cmn-邮编.mp3]
由衷	由衷	yóuzhōng	heartfelt, sincere, unfeigned	[sound:cmn-由衷.mp3]
郵政	邮政	yóuzhèng	postal service, postal	[sound:cmn-邮政.mp3]
猶豫不決	犹豫不决	yóuyù-bùjué	hesitancy, indecision, to waver	[sound:cmn-犹豫不决.mp3]
猶如	犹如	yóurú	like, as, just as, be just as, be just like/as, be just like	[sound:cmn-犹如.mp3]
油畫	油画	yóuhuà	canvas, painting, canvass, oil, oil painting, oil_painting, oil paint	[sound:cmn-油画.mp3]
遊船	游船	yóuchuán	Boat	[sound:cmn-游船.mp3]
遊覽	游览	yóulǎn	go sight-seeing, tour, visit	[sound:cmn-游览.mp3]
友情	友情	yǒuqíng	friendly feelings, friendship	[sound:cmn-友情.mp3]
友人	友人	yǒurén	friend	[sound:cmn-友人.mp3]
友善	友善	yǒushàn	friendly	[sound:cmn-友善.mp3]
有待	有待	yǒudài	be pending, await, remain (to be done), remain	[sound:cmn-有待.mp3]
有的放矢	有的放矢	yǒudì-fàngshǐ	Title	[sound:cmn-有的放矢.mp3]
有機	有机	yǒujī	organic	[sound:cmn-有机.mp3]
有口無心	有口无心	yǒukǒu-wúxīn	to speak harshly but without any bad intent (idiom)	[sound:cmn-有口无心.mp3]
有聲有色	有声有色	yǒushēng-yǒusè	having sound and color (idiom), vivid, dazzling	[sound:cmn-有声有色.mp3]
有兩下子	有两下子	yǒu liǎngxiàzi	to have real skill, to know one's stuff	[sound:cmn-有两下子.mp3]
有所不同	有所不同	yǒusuǒbùtóng	to differ to some extent (idiom)	[sound:cmn-有所不同.mp3]
有所	有所	yǒusuǒ	somewhat, to some extent	[sound:cmn-有所.mp3]
有望	有望	yǒuwàng	hopeful, promising	[sound:cmn-有望.mp3]
有效期	有效期	yǒuxiàoqī	period of validity, sell-by date	[sound:cmn-有效期.mp3]
有幸	有幸	yǒuxìng	fortunately	[sound:cmn-有幸.mp3]
有序	有序	yǒuxù	regular, orderly, successive, in order	[sound:cmn-有序.mp3]
有益	有益	yǒuyì	profit, benefit, conduce, advantageous, be helpful, conducive, subserve, avail, suit	[sound:cmn-有益.mp3]
有意	有意	yǒuyì	have a mind to, be interested in	[sound:cmn-有意.mp3]
有朝一日	有朝一日	yǒuzhāo-yīrì	one day, sometime in the future	[sound:cmn-有朝一日.mp3]
幼稚	幼稚	yòuzhì	young, childish, puerile	[sound:cmn-幼稚.mp3]
有助於	有助于	yǒuzhùyú	helpful to, lead, advantage, redound, be conducive, conduce, be conducive to, conduce to, sell, contribute to, subserve, avail, contribute	[sound:cmn-有助于.mp3]
誘餌	诱饵	yòuěr	bait	[sound:cmn-诱饵.mp3]
誘惑	诱惑	yòuhuò	tempt, seduce, lure	[sound:cmn-诱惑.mp3]
誘發	诱发	yòufā	to induce, to cause, to elicit, to trigger	[sound:cmn-诱发.mp3]
誘人	诱人	yòurén	attractive, alluring, captivating, to attract, to captivate	[sound:cmn-诱人.mp3]
餘地	余地	yúdì	margin, leeway	[sound:cmn-余地.mp3]
餘額	余额	yúé	vacancies yet to be filled, remains, balance, remaining sum	[sound:cmn-余额.mp3]
余	余	yú	det.: odd, plus	[sound:cmn-余.mp3]
漁船	渔船	yúchuán	fisherman, fishermen, fisherboat, fisher, fishing boat, wherry	[sound:cmn-渔船.mp3]
漁民	渔民	yúmín	fisherman, peterman, fisherfolk	[sound:cmn-渔民.mp3]
逾期	逾期	yú qī	to be overdue, to fail to meet a deadline, to be behind in doing sth	[sound:cmn-逾期.mp3]
愚蠢	愚蠢	yúchǔn	silly, stupid	[sound:cmn-愚蠢.mp3]
愚公移山	愚公移山	Yúgōng-yíshān	the old man moves mountains (idiom), fig. where there's a will, there's a way	[sound:cmn-愚公移山.mp3]
輿論	舆论	yúlùn	sense, vox_populi, popular opinion, public opinion, opinion, public_opinion, consensus, vox populi	[sound:cmn-舆论.mp3]
與此同時	与此同时	yǔcǐtóngshí	at the same time, meanwhile	[sound:cmn-与此同时.mp3]
與其	与其	yǔqí	rather than	[sound:cmn-与其.mp3]
與否	与否	yǔfǒu	particle: meaning "whether or not"	[sound:cmn-与否.mp3]
與眾不同	与众不同	yǔzhòng-bùtóng	to stand out from the masses (idiom)	[sound:cmn-与众不同.mp3]
與日俱增	与日俱增	yǔrì-jùzēng	to increase steadily, to grow with each passing day	[sound:cmn-与日俱增.mp3]
與時俱進	与时俱进	yǔshí-jùjìn	abreast of modern developments, to keep up with the times, progressive, timely	[sound:cmn-与时俱进.mp3]
宇宙	宇宙	yǔzhòu	all, cosmic, existence, world, creation, system, macrocosm, metagalactic, nature, cosmos, universal, universe	[sound:cmn-宇宙.mp3]
予以	予以	yǔyǐ	give	[sound:cmn-予以.mp3]
浴室	浴室	yùshì	W.C., bathroom, shower room, balneary, water closet, loo, toilet, closet, bath	[sound:cmn-浴室.mp3]
預定	预定	yùdìng	predetermination, predetermine, forespeak, preordain, engage, budget, reserve, phase, slate, fix in advance, predestine, state, preconcert, prearrange, take, schedule, destine, bespeak, foreordain, predestinate	[sound:cmn-预定.mp3]
預感	预感	yùgǎn	to have a premonition, premonition	[sound:cmn-预感.mp3]
語氣	语气	yǔqì	mood, tenor, strain, modality, manner of speaking, tone, mode, tone of voice, note	[sound:cmn-语气.mp3]
預告	预告	yùgào	to forecast, to predict, advance notice	[sound:cmn-预告.mp3]
預見	预见	yùjiàn	envision, predict, foresee, previse, foreknow, prefigure, envisage	[sound:cmn-预见.mp3]
預料	预料	yùliào	expect, predict, anticipate	[sound:cmn-预料.mp3]
預示	预示	yùshì	to indicate, to foretell, to forebode, to betoken	[sound:cmn-预示.mp3]
預賽	预赛	yùsài	preliminary contest	[sound:cmn-预赛.mp3]
預售	预售	yùshòu	sell in advance	[sound:cmn-预售.mp3]
預算	预算	yùsuàn	estimate, forethought, budget, estimation, budgetary	[sound:cmn-预算.mp3]
預先	预先	yùxiān	beforehand, in advance	[sound:cmn-预先.mp3]
預言	预言	yùyán	to predict, prophecy	[sound:cmn-预言.mp3]
慾望	欲望	yùwàng	appetence, indirect request, wish, appetite, stomach, concupiscence, desire, Kama, appetency, hunger, thirst, lech, orexis, rage, passion	[sound:cmn-欲望.mp3]
遇難	遇难	yù nàn	to perish, to be killed	[sound:cmn-遇难.mp3]
遇險	遇险	yù xiǎn	to get into difficulties, to meet with danger	[sound:cmn-遇险.mp3]
寓言	寓言	yùyán	fable, CL:則|则[ze2]	[sound:cmn-寓言.mp3]
預兆	预兆	yùzhào	omen, sign (of sth yet to occur), prior indication, to foreshadow	[sound:cmn-预兆.mp3]
遇上	遇上	yùshàng	Encounter	[sound:cmn-遇上.mp3]
寓意	寓意	yùyì	moral (of a story), lesson to be learned, implication, message, import, metaphorical meaning	[sound:cmn-寓意.mp3]
愈來愈	愈来愈	yùláiyù	even more, more_and_more, more and more	[sound:cmn-愈来愈.mp3]
愈演愈烈	愈演愈烈	yùyǎn-yùliè	ever more critical, problems get more and more intense	[sound:cmn-愈演愈烈.mp3]
癒合	愈合	yùhé	to heal, to fuse	[sound:cmn-愈合.mp3]
淵源	渊源	yuānyuán	origin, source	[sound:cmn-渊源.mp3]
冤	冤	yuān	injustice, grievance, wrong, old variant of 冤[yuan1]	[sound:cmn-冤.mp3]
元老	元老	yuánlǎo	senior figure, elder, doyen	[sound:cmn-元老.mp3]
元首	元首	yuánshǒu	head of state	[sound:cmn-元首.mp3]
元宵節	元宵节	Yuánxiāojié	Lantern Festival, the final event of the Spring Festival 春節|春节, on 15th of first month of the lunar calendar	[sound:cmn-元宵节.mp3]
原本	原本	yuánběn	originally, formerly	[sound:cmn-原本.mp3]
冤枉	冤枉	yuānwang	to accuse wrongly, to treat unjustly, injustice, wronged, not worthwhile	[sound:cmn-冤枉.mp3]
原材料	原材料	yuáncáiliào	raw materials, unprocessed materials	[sound:cmn-原材料.mp3]
原地	原地	yuándì	(in) the original place, the place where one currently is, place of origin, local (product)	[sound:cmn-原地.mp3]
原創	原创	yuánchuàng	originality, creativity, innovation	[sound:cmn-原创.mp3]
原型	原型	yuánxíng	model, prototype, archetype	[sound:cmn-原型.mp3]
原裝	原装	yuánzhuāng	genuine, intact in original packaging (not locally assembled and packaged)	[sound:cmn-原装.mp3]
原汁原味	原汁原味	yuánzhī-yuánwèi	original, authentic	[sound:cmn-原汁原味.mp3]
圓形	圆形	yuánxíng	round, circular	[sound:cmn-圆形.mp3]
緣分	缘分	yuánfen	fate or chance that brings people together, predestined affinity or relationship, (Budd.) destiny	[sound:cmn-缘分.mp3]
源泉	源泉	yuánquán	fountainhead, well-spring, water source, fig. origin	[sound:cmn-源泉.mp3]
源於	源于	yuányú	has its origins in	[sound:cmn-源于.mp3]
源頭	源头	yuántóu	source, fountainhead	[sound:cmn-源头.mp3]
源源不斷	源源不断	yuányuánbùduàn	a steady flow (idiom), an unending stream	[sound:cmn-源源不断.mp3]
遠程	远程	yuǎnchéng	remote, long distance, long range	[sound:cmn-远程.mp3]
遠見	远见	yuǎnjiàn	vision	[sound:cmn-远见.mp3]
遠近聞名	远近闻名	yuǎnjìnwénmíng	Far-known	[sound:cmn-远近闻名.mp3]
怨恨	怨恨	yuànhèn	to resent, to harbor a grudge against, to loathe, resentment, rancor	[sound:cmn-怨恨.mp3]
怨言	怨言	yuànyán	complaint	[sound:cmn-怨言.mp3]
怨氣	怨气	yuànqì	grievance, resentment, complaint	[sound:cmn-怨气.mp3]
院士	院士	yuànshì	academician	[sound:cmn-院士.mp3]
約定俗成	约定俗成	yuēdìng-súchéng	established by popular usage (idiom), common usage agreement, customary convention	[sound:cmn-约定俗成.mp3]
月初	月初	yuèchū	start of month, early in the month	[sound:cmn-月初.mp3]
曰	曰	yuē	say, speak	[sound:cmn-曰.mp3]
月票	月票	yuèpiào	monthly ticket	[sound:cmn-月票.mp3]
樂器	乐器	yuèqì	chime, axe, musical instrument, instrument	[sound:cmn-乐器.mp3]
岳父	岳父	yuèfù	wife's father, father-in-law	[sound:cmn-岳父.mp3]
岳母	岳母	yuèmǔ	wife's mother, mother-in-law	[sound:cmn-岳母.mp3]
悅耳	悦耳	yuèěr	sweet-sounding, beautiful (of sound)	[sound:cmn-悦耳.mp3]
越發	越发	yuèfā	increasingly, more and more, ever more, all the more	[sound:cmn-越发.mp3]
閱歷	阅历	yuèlì	to experience, experience	[sound:cmn-阅历.mp3]
越過	越过	yuè guò	to cross over, to transcend, to cover distance, to overcome, to rise above	[sound:cmn-越过.mp3]
暈倒	晕倒	yūndǎo	to faint, to swoon, to black out, to become unconscious	[sound:cmn-晕倒.mp3]
孕婦	孕妇	yùnfù	pregnant woman	[sound:cmn-孕妇.mp3]
隕石	陨石	yǔnshí	meteorite, meteor, aerolite, stony meteorite	[sound:cmn-陨石.mp3]
孕育	孕育	yùnyù	to be pregnant, to produce offspring, to nurture (a development, school of thought, artwork etc), fig. replete with (culture etc)	[sound:cmn-孕育.mp3]
運送	运送	yùnsòng	transport, convey	[sound:cmn-运送.mp3]
運河	运河	yùnhé	canal	[sound:cmn-运河.mp3]
運營	运营	yùnyíng	to be in operation, to do business, (of train, bus etc) to be in service, operation, service	[sound:cmn-运营.mp3]
運轉	运转	yùnzhuǎn	revolve, turn round, work, operate	[sound:cmn-运转.mp3]
韻味	韵味	yùnwèi	implicit charm in rhyme or sound, hinted appeal, interest	[sound:cmn-韵味.mp3]
醞釀	酝酿	yùnniàng	(of alcohol) to ferment, (of a crisis) to be brewing, to mull over (an issue), to hold exploratory discussions	[sound:cmn-酝酿.mp3]
蘊涵	蕴涵	yùnhán	to contain, to accumulate, to embrace, implicit condition, implication, entailment	[sound:cmn-蕴涵.mp3]
蘊藏	蕴藏	yùncáng	to hold in store, to contain (untapped reserves etc)	[sound:cmn-蕴藏.mp3]
雜亂無章	杂乱无章	záluàn-wúzhāng	disordered and in a mess (idiom), all mixed up and chaotic	[sound:cmn-杂乱无章.mp3]
雜技	杂技	zájì	acrobatics, CL:場|场[chang3]	[sound:cmn-杂技.mp3]
雜交	杂交	zájiāo	to hybridize, to crossbreed, promiscuity	[sound:cmn-杂交.mp3]
砸	砸	zá	tamp, bungle, failure, fall through, smash, pound, fail, break, be bungled, ram	[sound:cmn-砸.mp3]
栽	栽	zāi	to grow, to plant, to insert, to force on sb, to fall head first	[sound:cmn-栽.mp3]
栽培	栽培	zāipéi	cultivate, grow, foster, train, educate, give/receive patronage	[sound:cmn-栽培.mp3]
再度	再度	zàidù	once again, anew, eftsoons, second time, again, a second time, once more/again, once more	[sound:cmn-再度.mp3]
宰	宰	zǎi	to slaughter livestock, to govern or rule, to cheat customers, imperial official in dynastic China	[sound:cmn-宰.mp3]
再現	再现	zàixiàn	to recreate, to reconstruct (a historical relic)	[sound:cmn-再现.mp3]
在線	在线	zàixiàn	online	[sound:cmn-在线.mp3]
在意	在意	zài yì	take notice of, care about, pay attention to, take ... to heart, care, mind	[sound:cmn-在意.mp3]
載體	载体	zàitǐ	carrier (chemistry), vector (epidemiology), vehicle or medium	[sound:cmn-载体.mp3]
在職	在职	zàizhí	be on the job	[sound:cmn-在职.mp3]
暫	暂	zàn	to scurry, variant of 暫|暂[zan4]	[sound:cmn-暂.mp3]
攢	攒	zǎn	to bring together, to collect, to hoard, to accumulate, to save	[sound:cmn-攒.mp3]
贊不絕口	赞不绝口	zànbùjuékǒu	to praise without cease (idiom), praise sb to high heaven	[sound:cmn-赞不绝口.mp3]
贊嘆	赞叹	zàntàn	to exclaim in admiration	[sound:cmn-赞叹.mp3]
贊嘆不已	赞叹不已	Zàntànbùyǐ	to be full of praise (idiom)	[sound:cmn-赞叹不已.mp3]
贊同	赞同	zàntóng	approve of, endorse	[sound:cmn-赞同.mp3]
贊許	赞许	zànxǔ	to praise, to laud	[sound:cmn-赞许.mp3]
贊美	赞美	zànměi	to admire, to praise, to eulogize	[sound:cmn-赞美.mp3]
贊揚	赞扬	zànyáng	to praise, to approve of, to show approval	[sound:cmn-赞扬.mp3]
葬禮	葬礼	zànglǐ	burial, funeral	[sound:cmn-葬礼.mp3]
遭殃	遭殃	zāo yāng	to suffer a calamity	[sound:cmn-遭殃.mp3]
鑿	凿	záo	chisel, to bore a hole, to chisel or dig, certain, authentic, irrefutable, also pr. [zuo4]	[sound:cmn-凿.mp3]
葬	葬	zàng	to bury (the dead), to inter	[sound:cmn-葬.mp3]
早日	早日	zǎorì	at an early date, early, soon	[sound:cmn-早日.mp3]
早年	早年	zǎonián	early years, adolescence	[sound:cmn-早年.mp3]
棗	枣	zǎo	jujube, dates	[sound:cmn-枣.mp3]
造假	造假	zàojiǎ	to counterfeit, to pass off a fake as genuine	[sound:cmn-造假.mp3]
造價	造价	zàojià	construction cost	[sound:cmn-造价.mp3]
造福	造福	zàofú	to benefit (e.g. the people)	[sound:cmn-造福.mp3]
造就	造就	zàojiù	bring up, train	[sound:cmn-造就.mp3]
噪聲	噪声	zàoshēng	noise	[sound:cmn-噪声.mp3]
造紙術	造纸术	zàozhǐshù	Papermaking	[sound:cmn-造纸术.mp3]
則	则	zé	then, in that case	[sound:cmn-则.mp3]
噪音	噪音	zàoyīn	dissonance, row, rumour, noise, discord, squeal, discordance, mush, racket	[sound:cmn-噪音.mp3]
責備	责备	zébèi	to blame, to criticize, condemnation, reproach	[sound:cmn-责备.mp3]
責怪	责怪	zéguài	to blame, to rebuke	[sound:cmn-责怪.mp3]
增收	增收	zēngshōu	Increasing	[sound:cmn-增收.mp3]
賊	贼	zéi	thief, traitor, wily, deceitful, evil, extremely	[sound:cmn-贼.mp3]
扎根	扎根	zhā gēn	to take root	[sound:cmn-扎根.mp3]
增添	增添	zēngtiān	increase, accession, throw in, point_up, add, subjoin, addition, lend	[sound:cmn-增添.mp3]
閘	闸	zhá	gear, brake, sluice, lock (on waterway), electric switch or circuit breaker	[sound:cmn-闸.mp3]
渣子	渣子	zhāzi	Slag	[sound:cmn-渣子.mp3]
眨眼	眨眼	zhǎ yǎn	to blink, to wink, in the twinkling of an eye	[sound:cmn-眨眼.mp3]
炸	炸	zhà	to deep fry, to explode	[sound:cmn-炸.mp3]
詐騙	诈骗	zhàpiàn	to defraud, to swindle, to blackmail	[sound:cmn-诈骗.mp3]
榨	榨	zhà	to press, to extract (juice), device for extracting juice, oils etc	[sound:cmn-榨.mp3]
窄	窄	zhǎi	narrow, narrow-minded, badly off	[sound:cmn-窄.mp3]
債務	债务	zhàiwù	debt, liabilities	[sound:cmn-债务.mp3]
沾	沾	zhān	moisten, daub, get ... out of association, soak, partake, profit from, touch, be stained with	[sound:cmn-沾.mp3]
占卜	占卜	zhānbǔ	to divine	[sound:cmn-占卜.mp3]
沾光	沾光	zhān guāng	to bask in the light, fig. to benefit from association with sb or sth, reflected glory	[sound:cmn-沾光.mp3]
瞻仰	瞻仰	zhānyǎng	to revere, to admire	[sound:cmn-瞻仰.mp3]
粘	粘	zhān	glutinous, sticky, to stick, to adhere, variant of 黏[nian2], to glue, to stick, to paste	[sound:cmn-粘.mp3]
斬	斩	zhǎn	to behead (as form of capital punishment), to chop	[sound:cmn-斩.mp3]
斬草除根	斩草除根	zhǎncǎo-chúgēn	to cut weeds and eliminate the roots (idiom), to destroy root and branch, to eliminate completely	[sound:cmn-斩草除根.mp3]
展出	展出	zhǎnchū	exhibit	[sound:cmn-展出.mp3]
盞	盏	zhǎn	m.[general]	[sound:cmn-盏.mp3]
展覽會	展览会	zhǎnlǎnhuì	exhibition, show, CL:個|个[ge4]	[sound:cmn-展览会.mp3]
展望	展望	zhǎnwàng	look into the distance/future	[sound:cmn-展望.mp3]
占用	占用	zhànyòng	occupy, take over	[sound:cmn-占用.mp3]
嶄新	崭新	zhǎnxīn	newly, bran-new, spick-and-span, spic-and-span, brand-new, spick and span, completely new	[sound:cmn-崭新.mp3]
站立	站立	zhànlì	to stand, standing, on one's feet	[sound:cmn-站立.mp3]
綻放	绽放	zhànfàng	to blossom	[sound:cmn-绽放.mp3]
張燈結彩	张灯结彩	zhāngdēng-jiécǎi	to be decorated with lanterns and colored banners (idiom)	[sound:cmn-张灯结彩.mp3]
蘸	蘸	zhàn	to dip in (ink, sauce etc)	[sound:cmn-蘸.mp3]
張貼	张贴	zhāngtiē	to post (a notice), to advertise	[sound:cmn-张贴.mp3]
張揚	张扬	zhāngyáng	Zhang Yang (1967-), PRC film director and screenwriter, to display ostentatiously, to bring out into the open, to make public, to spread around, flamboyant, brash	[sound:cmn-张扬.mp3]
長相	长相	zhǎngxiàng	appearance, looks, profile, countenance	[sound:cmn-长相.mp3]
掌管	掌管	zhǎngguǎn	in charge of, to control	[sound:cmn-掌管.mp3]
帳篷	帐篷	zhàngpeng	tent, CL:頂|顶[ding3],座[zuo4]	[sound:cmn-帐篷.mp3]
長輩	长辈	zhǎngbèi	seniority, better, elder, superior, senior, elder member of family, eldership, elder generation, superordinate, higher-up	[sound:cmn-长辈.mp3]
帳子	帐子	zhàngzi	mosquito net, CL:頂|顶[ding3]	[sound:cmn-帐子.mp3]
賬單	账单	zhàngdān	bill	[sound:cmn-账单.mp3]
脹	胀	zhàng	dropsical, swollen, to swell, to be bloated	[sound:cmn-胀.mp3]
賬號	账号	zhànghào	account, username	[sound:cmn-账号.mp3]
招標	招标	zhāo biāo	invite tenders/bids	[sound:cmn-招标.mp3]
招待	招待	zhāodài	receive (guests), serve (customers)	[sound:cmn-招待.mp3]
招待會	招待会	zhāodàihuì	reception, CL:個|个[ge4],次[ci4]	[sound:cmn-招待会.mp3]
招募	招募	zhāomù	recruit, enlist	[sound:cmn-招募.mp3]
招攬	招揽	zhāolǎn	to attract (customers), to drum up (trade)	[sound:cmn-招揽.mp3]
招牌	招牌	zhāopai	plate, sign, shop sign, fascia, signboard, placard, facia, nameboard	[sound:cmn-招牌.mp3]
朝氣蓬勃	朝气蓬勃	zhāoqì-péngbó	full of youthful energy (idiom), vigorous, energetic, a bright spark	[sound:cmn-朝气蓬勃.mp3]
招數	招数	zhāoshù	move (in chess, on stage, in martial arts), gambit, trick, scheme, movement, same as 著數|着数[zhao1 shu4]	[sound:cmn-招数.mp3]
朝三暮四	朝三暮四	zhāosān-mùsì	lit. say three in the morning but four in the evening (idiom), to change sth that is already settled upon, indecisive, to blow hot and cold	[sound:cmn-朝三暮四.mp3]
朝夕相處	朝夕相处	zhāoxīxiāngchǔ	Get along the eve	[sound:cmn-朝夕相处.mp3]
招收	招收	zhāoshōu	recruit, take in	[sound:cmn-招收.mp3]
著迷	着迷	zháo mí	to be fascinated, to be captivated	[sound:cmn-着迷.mp3]
沼澤	沼泽	zhǎozé	marsh, swamp, wetlands, glade	[sound:cmn-沼泽.mp3]
兆頭	兆头	zhàotou	omen, portent, sign	[sound:cmn-兆头.mp3]
召集	召集	zhàojí	call together, convene	[sound:cmn-召集.mp3]
照辦	照办	zhào bàn	to follow the rules, to do as instructed, to play by the book, to comply with a request	[sound:cmn-照办.mp3]
照常	照常	zhàocháng	as usual	[sound:cmn-照常.mp3]
照例	照例	zhàolì	as a rule, as usual, usually	[sound:cmn-照例.mp3]
照料	照料	zhàoliào	to tend, to take care of sb	[sound:cmn-照料.mp3]
罩	罩	zhào	cover, fish trap (basket), shade	[sound:cmn-罩.mp3]
照明	照明	zhàomíng	illuminate	[sound:cmn-照明.mp3]
肇事	肇事	zhàoshì	to cause trouble, to provoke a disturbance	[sound:cmn-肇事.mp3]
折騰	折腾	zhēteng	to toss from side to side (e.g. sleeplessly), to repeat sth over and over again, to torment sb, to play crazy, to squander (time, money)	[sound:cmn-折腾.mp3]
遮	遮	zhē	to cover up (a shortcoming), to screen off, to hide, to conceal	[sound:cmn-遮.mp3]
遮蓋	遮盖	zhēgài	to hide, to cover (one's tracks)	[sound:cmn-遮盖.mp3]
折合	折合	zhéhé	to convert into, to amount to, to be equivalent to	[sound:cmn-折合.mp3]
折疊	折叠	zhédié	to fold, collapsible, folding (bicycle, antenna, bed etc)	[sound:cmn-折叠.mp3]
折磨	折磨	zhémo	to persecute, to torment	[sound:cmn-折磨.mp3]
折扣	折扣	zhékòu	allowance, rebate, price reduction, discount, agio, reduction, deduction, percentage	[sound:cmn-折扣.mp3]
折射	折射	zhéshè	to refract, refraction, to reflect (in the figurative sense: to show the nature of)	[sound:cmn-折射.mp3]
這會兒	这会儿	zhèhuìr5	(coll.) now, this moment, also pr. [zhe4 hui3 r5]	[sound:cmn-这会儿.mp3]
這樣一來	这样一来	zhèyàngyīlái	thus	[sound:cmn-这样一来.mp3]
針鋒相對	针锋相对	zhēnfēng-xiāngduì	to oppose each other with equal harshness (idiom), tit for tat, measure for measure	[sound:cmn-针锋相对.mp3]
偵察	侦察	zhēnchá	to investigate a crime, to scout, to reconnoiter, reconnaissance, detection, a scout	[sound:cmn-侦察.mp3]
針灸	针灸	zhēnjiǔ	acupuncture and moxibustion, to give or have acupuncture and moxibustion	[sound:cmn-针灸.mp3]
珍藏	珍藏	zhēncáng	collection, to collect (valuables)	[sound:cmn-珍藏.mp3]
珍重	珍重	zhēnzhòng	precious, extremely valuable, (honorific) Please take good care of yourself!	[sound:cmn-珍重.mp3]
珍視	珍视	zhēnshì	to place great importance on, to treasure	[sound:cmn-珍视.mp3]
真空	真空	zhēnkōng	vacuum	[sound:cmn-真空.mp3]
真假	真假	zhēnjiǎ	genuine or fake, true or false	[sound:cmn-真假.mp3]
真情	真情	zhēnqíng	real situation, the truth	[sound:cmn-真情.mp3]
真心	真心	zhēnxīn	sincere, genuine, true	[sound:cmn-真心.mp3]
